Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
ANT,2020-11-11,3.4442868614,3.3702527368,3.4562578277,3.2943186998
ANT,2020-11-12,3.2197331847,3.5590209793,3.5676162149,3.2099602902
ANT,2020-11-13,3.52248985,3.2028932208,3.5982291888,3.2004408211
ANT,2020-11-14,3.2950799533,3.4992431353,3.4998539489,3.2164249569
ANT,2020-11-15,3.2025389194,3.3096916249,3.3751506025,3.1666830022
ANT,2020-11-16,3.2754400764,3.2351449279,3.3212367692,3.1929044163
ANT,2020-11-17,3.3343774226,3.2784099626,3.3995696735,3.1508980061
ANT,2020-11-18,3.1417770572,3.1651630637,3.1907335884,3.0988704733
ANT,2020-11-19,3.0721257259,3.1842376564,3.1856361792,3.0332864916
ANT,2020-11-20,3.1358501402,3.0748879579,3.2567108471,3.0727493696
ANT,2020-11-21,3.3642171112,3.1318951359,3.4665503819,3.1318951359
ANT,2020-11-22,3.9856203977,3.4825774373,4.2604161304,3.4740233212
ANT,2020-11-23,4.1424605437,3.9040912489,4.426779109,3.8700692815
ANT,2020-11-24,4.07275689,4.1589166943,4.3157251271,3.9337093478
ANT,2020-11-25,3.7110918126,4.0376225029,4.096377368,3.7104745275
ANT,2020-11-26,3.1661410192,3.7233513193,3.7834943769,3.0021965759
ANT,2020-11-27,3.1187681601,3.2701711872,3.3699957658,3.0429214195
ANT,2020-11-28,3.3299054396,3.1480520121,3.3770566368,3.1255899968
ANT,2020-11-29,3.2785064877,3.2669995767,3.3233922544,3.1576146933
ANT,2020-11-30,3.385116778,3.2936654007,3.420014089,3.2298329305
ANT,2020-12-01,3.3991619948,3.4313216115,3.6461217575,3.1826126519
ANT,2020-12-02,3.3971293146,3.324208378,3.4869073187,3.2743737497
ANT,2020-12-03,3.3607633681,3.4250523083,3.477695537,3.3336078021
ANT,2020-12-04,3.2069818308,3.3692971708,3.4439090348,3.203683164
ANT,2020-12-05,3.2745312527,3.1898231204,3.2753830243,3.1578914462
ANT,2020-12-06,3.3932166924,3.2871184002,3.5829044836,3.2171677292
ANT,2020-12-07,3.4266944645,3.4624344647,3.4919637993,3.3052455004
ANT,2020-12-08,3.165022742,3.395627684,3.4332373345,3.1648742364
ANT,2020-12-09,3.0661586326,3.0850148354,3.1752072136,3.018163151
ANT,2020-12-10,3.0551990527,3.0650354147,3.0968564068,2.9518677178
ANT,2020-12-11,2.9237496777,3.0304734758,3.040982894,2.8292498064
ANT,2020-12-12,2.9863019437,2.901739438,3.0065436622,2.8993836675
ANT,2020-12-13,3.0184148114,2.9655071402,3.0707115863,2.9652640442
ANT,2020-12-14,2.93589015,3.002461106,3.0155618322,2.8906416822
ANT,2020-12-15,3.0782027958,2.9670500537,3.1455321091,2.9484170077
ANT,2020-12-16,3.0733284853,3.0719613213,3.1493746257,3.0308842154
ANT,2020-12-17,3.1025888079,3.1249844387,3.2150107961,3.0307391509
ANT,2020-12-18,3.1550842225,3.1145010529,3.1960614307,3.079240411
ANT,2020-12-19,3.2214706187,3.1494724905,3.2766845045,3.1396008199
ANT,2020-12-20,3.0646063603,3.2001911105,3.2054731655,3.0379853229
ANT,2020-12-21,2.986913376,3.1079633798,3.1079633798,2.8189910345
ANT,2020-12-22,2.9444878336,2.8930174693,3.1419886411,2.8549183045
ANT,2020-12-23,2.639847661,2.9241195102,2.9552058497,2.6196607342
ANT,2020-12-24,2.7488473987,2.6712822015,2.773228381,2.6586724315
ANT,2020-12-25,2.8663260625,2.7977827466,2.9092174971,2.786630007
ANT,2020-12-26,2.8699311353,2.8670864029,2.9014033867,2.8210474918
ANT,2020-12-27,2.9567771435,2.8639520416,2.9910604188,2.7672650453
ANT,2020-12-28,3.0276060368,2.8986377392,3.075736729,2.8811291031
ANT,2020-12-29,2.9547619444,2.9731836421,3.0095357144,2.9059544824
ANT,2020-12-30,3.011583765,2.9760517888,3.0939902469,2.9338928372
ANT,2020-12-31,3.0131536987,3.0268783587,3.0572688717,2.9817656121
ANT,2021-01-01,3.2157682676,3.0535435609,3.2488843421,3.0471470061
ANT,2021-01-02,3.0810577166,3.2223940742,3.2240923448,2.9568703738
ANT,2021-01-03,3.0246294973,3.1077632309,3.184591523,2.9845469349
ANT,2021-01-04,3.1979929174,3.0369546601,3.3927098293,3.0348823495
ANT,2021-01-05,3.3069270235,3.3366602969,3.4210790622,3.1860774264
ANT,2021-01-06,3.4903640894,3.3029996336,3.5816079182,3.2899736694
ANT,2021-01-07,3.4260560946,3.4814021666,4.3618698701,3.3249649036
ANT,2021-01-08,3.2793102196,3.4464403435,3.5934450861,3.1599287618
ANT,2021-01-09,3.5653024178,3.2961756434,3.6065369507,3.2080133041
ANT,2021-01-10,3.6867536733,3.4831633203,3.9278864722,3.3742210055
ANT,2021-01-11,3.2570822964,3.8038673084,3.8257818947,3.0341500527
ANT,2021-01-12,3.174330151,3.3312923533,3.3616097277,3.0330606028
ANT,2021-01-13,3.2730083151,3.1695084678,3.4647675764,3.0446178602
ANT,2021-01-14,3.1994779579,3.2909274559,3.4744114069,3.179201998
ANT,2021-01-15,3.3411580126,3.2786985534,3.5655025577,3.1072533474
ANT,2021-01-16,3.5053725738,3.3430191497,3.6325718606,3.3388186507
ANT,2021-01-17,4.7710744584,3.4980707189,6.6063613486,3.4290849902
ANT,2021-01-18,4.2318313457,4.8685321292,5.0177182431,4.1834856156
ANT,2021-01-19,4.1625132963,4.2754662201,4.4102571383,4.1441617753
ANT,2021-01-20,3.9464947104,4.0002918619,4.1693680508,3.6923566301
